DateTime,Lag_1,Lag_7,Rolling_Mean_7,Day_of_Week,Month
2011-12-13,266.0419998,2.947,232.62128565714286,1,12
2011-12-14,230.62899960000001,143.1599998,250.59614289999996,2,12
2011-12-15,268.9840005,248.3740001,254.7671429857143,3,12
2011-12-16,277.5710007,216.327,261.3555715142857,4,12
2011-12-17,262.4459997,246.1679998,261.3700000857143,5,12
2011-12-18,246.2689998,277.6490005,262.54185711428573,6,12
2011-12-19,285.8519997,266.0419998,263.29485714285715,0,12
2011-12-20,271.313,230.62899960000001,270.62671427142857,1,12
2011-12-21,281.9519995,268.9840005,270.2999999285715,2,12
2011-12-22,266.6970001,277.5710007,262.2092854857143,3,12
2011-12-23,220.9359996,262.4459997,256.8475712857143,4,12
2011-12-24,224.9140003,246.2689998,253.95142844285715,5,12
2011-12-25,225.9959999,285.8519997,245.36085702857142,6,12
2011-12-26,225.7179998,271.313,236.51657125714286,0,12
2011-12-27,209.4029996,281.9519995,226.86242845714284,1,12
2011-12-28,214.3729999,266.6970001,224.6931428142857,2,12
2011-12-29,251.5120006,220.9359996,228.79185708571427,3,12
2011-12-30,249.6269995,224.9140003,236.4665713142857,4,12
2011-12-31,278.6369999,225.9959999,244.2414285285714,5,12
2012-01-01,280.4200004,225.7179998,251.3067143,6,1
2012-01-02,275.1750002,209.4029996,259.91314297142856,0,1
2012-01-03,269.6480003,214.3729999,267.5340001714286,1,1
2012-01-04,267.7190003,251.5120006,270.2511428857143,2,1
2012-01-05,270.5319996,249.6269995,276.43628574285714,3,1
2012-01-06,292.9229995,278.6369999,273.61600004285714,4,1
2012-01-07,258.895,280.4200004,270.3737143571429,5,1
2012-01-08,257.7240006,275.1750002,271.6162857285714,6,1
2012-01-09,283.8729998,269.6480003,271.9470000142857,0,1
2012-01-10,271.9630003,267.7190003,270.08642845714286,1,1
2012-01-11,254.6949994,270.5319996,267.18214284285716,2,1
2012-01-12,250.2020003,292.9229995,262.99500002857144,3,1
2012-01-13,263.6129998,258.895,262.61185721428575,4,1
2012-01-14,256.2130003,257.7240006,265.09885715714285,5,1
2012-01-15,275.1330002,283.8729998,263.75757157142857,6,1
2012-01-16,274.4840007,271.9630003,266.93828581428573,0,1
2012-01-17,294.228,254.6949994,269.8618573714286,1,1
2012-01-18,275.1600003,250.2020003,275.74942865714286,2,1
2012-01-19,291.4149993,263.6129998,277.8667143714286,3,1
2012-01-20,278.4339998,256.2130003,279.3958571142857,4,1
