DateTime,KWH/hh (per half hour)
2011-12-13,230.62899960000001
2011-12-14,268.9840005
2011-12-15,277.5710007
2011-12-16,262.4459997
2011-12-17,246.2689998
2011-12-18,285.8519997
2011-12-19,271.313
2011-12-20,281.9519995
2011-12-21,266.6970001
2011-12-22,220.9359996
2011-12-23,224.9140003
2011-12-24,225.9959999
2011-12-25,225.7179998
2011-12-26,209.4029996
2011-12-27,214.3729999
2011-12-28,251.5120006
2011-12-29,249.6269995
2011-12-30,278.6369999
2011-12-31,280.4200004
2012-01-01,275.1750002
2012-01-02,269.6480003
2012-01-03,267.7190003
2012-01-04,270.5319996
2012-01-05,292.9229995
2012-01-06,258.895
2012-01-07,257.7240006
2012-01-08,283.8729998
2012-01-09,271.9630003
2012-01-10,254.6949994
2012-01-11,250.2020003
2012-01-12,263.6129998
2012-01-13,256.2130003
2012-01-14,275.1330002
2012-01-15,274.4840007
2012-01-16,294.228
2012-01-17,275.1600003
2012-01-18,291.4149993
2012-01-19,278.4339998
2012-01-20,266.9169995
2012-01-21,244.5549996
2012-01-22,283.2439993
2012-01-23,293.3799999
2012-01-24,304.2549998
2012-01-25,276.7399994
2012-01-26,293.702
2012-01-27,262.7159995
2012-01-28,279.7929991
2012-01-29,286.4949999
2012-01-30,312.2550001
2012-01-31,308.688
2012-02-01,340.4499999
2012-02-02,374.0769998
2012-02-03,359.5720005
2012-02-04,345.6249999
2012-02-05,379.3100001
2012-02-06,357.1620008
2012-02-07,367.0670003
2012-02-08,404.3799999
2012-02-09,378.9510005
2012-02-10,329.3659995
2012-02-11,339.8920007
2012-02-12,373.493
2012-02-13,387.1239993
2012-02-14,356.0549996
2012-02-15,334.1479992
2012-02-16,308.0260003
2012-02-17,268.4609997
2012-02-18,269.8220003
2012-02-19,285.2559995
2012-02-20,321.4010005
2012-02-21,310.7119993
2012-02-22,291.3709998
2012-02-23,279.9279997
2012-02-24,259.39199990000003
2012-02-25,283.0129997
2012-02-26,293.0499999
2012-02-27,272.0089994
2012-02-28,245.2679992
2012-02-29,247.2769997
2012-03-01,245.4849997
2012-03-02,251.6259999
2012-03-03,261.8249999
2012-03-04,291.3849999
2012-03-05,291.3929998
2012-03-06,323.3230001
2012-03-07,330.9039998
2012-03-08,309.001
2012-03-09,270.636001
2012-03-10,242.4930004
2012-03-11,247.1109997
2012-03-12,258.5539996
2012-03-13,265.1479999
2012-03-14,265.8549993
2012-03-15,255.8229999
2012-03-16,286.9749995
2012-03-17,267.5270005
2012-03-18,282.7659998
2012-03-19,277.6599999
2012-03-20,260.1250012
2012-03-21,276.8950003
2012-03-22,262.6430003
2012-03-23,244.8559999
2012-03-24,211.1840003
2012-03-25,226.0450003
2012-03-26,234.4180002
2012-03-27,212.3149991
2012-03-28,233.1589997
2012-03-29,240.6869997
2012-03-30,216.0760002
2012-03-31,231.84600030000001
2012-04-01,222.7130001
2012-04-02,242.0749993
2012-04-03,258.1920002
2012-04-04,248.7069999
2012-04-05,243.998
2012-04-06,223.1000006
2012-04-07,234.0499999
2012-04-08,215.4329996
2012-04-09,226.0439999
2012-04-10,220.0569995
2012-04-11,256.7150001
2012-04-12,247.28
2012-04-13,268.8280001
2012-04-14,223.099
2012-04-15,275.8589999
2012-04-16,270.4490004
2012-04-17,273.4140001
2012-04-18,262.4839997
2012-04-19,252.8249996
2012-04-20,222.8479994
2012-04-21,190.1609999
2012-04-22,202.1440002
2012-04-23,234.6820001
2012-04-24,216.6750001
2012-04-25,227.2459998
2012-04-26,230.2970001
2012-04-27,243.4419999
2012-04-28,237.0540004
2012-04-29,272.1679997
2012-04-30,230.7950004
2012-05-01,247.5870004
2012-05-02,232.7260003
2012-05-03,236.491
2012-05-04,220.7379999
2012-05-05,232.5100002
2012-05-06,267.5110002
2012-05-07,266.31999989999997
2012-05-08,245.5399997
2012-05-09,244.7659994
2012-05-10,230.2059999
2012-05-11,210.9069997
2012-05-12,182.3309999
2012-05-13,225.5299998
2012-05-14,234.3829997
2012-05-15,220.7280002
2012-05-16,218.8279997
2012-05-17,232.8549997
2012-05-18,221.1520001
2012-05-19,203.114
2012-05-20,228.96
2012-05-21,240.8339999
2012-05-22,210.344
2012-05-23,201.0999999
2012-05-24,182.918
2012-05-25,181.9220001
2012-05-26,171.299
2012-05-27,183.2440002
2012-05-28,193.9060001
2012-05-29,177.6730001
2012-05-30,178.256
2012-05-31,184.435
2012-06-01,174.2950001
2012-06-02,171.909
2012-06-03,192.6840002
2012-06-04,183.0150001
2012-06-05,218.6120001
2012-06-06,200.7130001
2012-06-07,213.061
2012-06-08,174.314
2012-06-09,176.9590001
2012-06-10,184.2559998
2012-06-11,215.1280001
2012-06-12,213.8340004
2012-06-13,190.6040003
2012-06-14,195.353
2012-06-15,181.6310001
2012-06-16,163.2570001
2012-06-17,185.5420002
2012-06-18,211.0859999
2012-06-19,174.6850001
2012-06-20,172.9599998
2012-06-21,200.7199998
